Field ID,Year,Sprays,Herbicide Sprays,Fungicide Cost,Herbicide Cost
70,2016,0.0,1,0.0,33.185255755082196
71,2016,0.0,1,0.0,33.185255755082196
72,2016,0.0,1,0.0,33.185255755082196
73,2016,0.0,0,0.0,0.0
74,2016,0.0,1,0.0,33.185255755082196
75,2016,0.0,1,0.0,33.185255755082196
76,2016,0.0,1,0.0,33.185255755082196
77,2016,0.0,1,0.0,33.185255755082196
78,2016,0.0,1,0.0,33.185255755082196
80,2016,0.0,0,0.0,0.0
81,2016,0.0,1,0.0,33.185255755082196
82,2016,0.0,0,0.0,0.0
83,2016,0.0,1,0.0,33.185255755082196
84,2016,0.0,1,0.0,33.185255755082196
85,2016,0.0,1,0.0,33.185255755082196
86,2016,0.0,0,0.0,0.0
87,2016,0.0,1,0.0,33.185255755082196
88,2016,0.0,1,0.0,33.185255755082196
89,2016,0.0,1,0.0,33.185255755082196
90,2016,0.0,0,0.0,0.0
91,2016,0.0,1,0.0,33.185255755082196
92,2016,0.0,0,0.0,0.0
93,2016,0.0,1,0.0,33.185255755082196
95,2016,0.0,0,0.0,0.0
96,2016,0.0,0,0.0,0.0
97,2016,0.0,1,0.0,33.185255755082196
99,2016,0.0,1,0.0,33.185255755082196
101,2016,0.0,0,0.0,0.0
102,2016,0.0,0,0.0,0.0
103,2016,0.0,0,0.0,0.0
104,2016,0.0,0,0.0,0.0
105,2016,0.0,0,0.0,0.0
106,2016,0.0,0,0.0,0.0
107,2016,0.0,0,0.0,0.0
108,2016,0.0,0,0.0,0.0
110,2016,0.0,0,0.0,0.0
111,2016,0.0,1,0.0,33.185255755082196
112,2016,0.0,1,0.0,33.185255755082196
113,2016,0.0,0,0.0,0.0
114,2016,0.0,2,0.0,66.37051151016439
115,2016,0.0,1,0.0,33.185255755082196
116,2016,0.0,1,0.0,33.185255755082196
117,2016,0.0,0,0.0,0.0
118,2016,0.0,2,0.0,66.37051151016439
119,2016,0.0,0,0.0,0.0
120,2016,0.0,1,0.0,33.185255755082196
121,2016,0.0,2,0.0,66.37051151016439
122,2016,0.0,0,0.0,0.0
123,2016,0.0,0,0.0,0.0
124,2016,0.0,2,0.0,66.37051151016439
1,2017,0.0,0,0.0,0.0
2,2017,0.0,0,0.0,0.0
3,2017,0.0,0,0.0,0.0
4,2017,0.0,0,0.0,0.0
5,2017,0.0,0,0.0,0.0
7,2017,0.0,0,0.0,0.0
8,2017,0.0,0,0.0,0.0
9,2017,0.0,0,0.0,0.0
10,2017,0.0,0,0.0,0.0
11,2017,0.0,0,0.0,0.0
12,2017,0.0,0,0.0,0.0
13,2017,0.0,0,0.0,0.0
14,2017,0.0,0,0.0,0.0
15,2017,0.0,0,0.0,0.0
16,2017,0.0,0,0.0,0.0
17,2017,0.0,0,0.0,0.0
18,2017,0.0,0,0.0,0.0
19,2017,0.0,0,0.0,0.0
20,2017,0.0,0,0.0,0.0
21,2017,0.0,0,0.0,0.0
22,2017,0.0,0,0.0,0.0
24,2017,0.0,1,0.0,33.185255755082196
25,2017,0.0,0,0.0,0.0
26,2017,0.0,1,0.0,33.185255755082196
