Year,V6 Percent,Initial Probability,Quantile,Mean Profit Percent Change,Sprays in May,Market Demand,Simulation
2014,0.0,0.01,0.2,-0.4456791196667072,5,high,0
2014,0.0,0.01,0.2,-0.5187866517174332,6,high,0
2014,0.0,0.01,0.2,-0.6161698610682667,7,high,0
2014,0.0,0.01,0.2,-0.6033245197069415,8,high,0
2014,0.0,0.01,0.2,-0.6263505879231478,9,high,0
2014,0.0,0.01,0.2,-0.6831773995659551,10,high,0
2014,0.0,0.01,0.4,-0.5044085669888957,0,high,0
2014,0.0,0.01,0.4,-0.4528490858453087,1,high,0
2014,0.0,0.01,0.4,-0.3153284634036422,2,high,0
2014,0.0,0.01,0.4,-0.5127989486865824,3,high,0
2014,0.0,0.01,0.4,-0.5172409025625696,4,high,0
2014,0.0,0.01,0.4,-0.49367603276898936,5,high,0
2014,0.0,0.01,0.4,-0.5917868510489553,6,high,0
2014,0.0,0.01,0.4,-0.7371883038015171,7,high,0
2014,0.0,0.01,0.4,-0.6353387153922426,8,high,0
2014,0.0,0.01,0.4,-1.0395494058472259,9,high,0
2014,0.0,0.01,0.4,-0.92656267885319,10,high,0
2014,0.0,0.01,0.6,-0.47617223996381397,0,high,0
2014,0.0,0.01,0.6,-0.33079357101994794,1,high,0
2014,0.0,0.01,0.6,-0.27180103558637275,2,high,0
2014,0.0,0.01,0.6,-0.379428081536308,3,high,0
2014,0.0,0.01,0.6,-0.3774605273707471,4,high,0
2014,0.0,0.01,0.6,-0.3886982761926196,5,high,0
2014,0.0,0.01,0.6,-0.5192820198726972,6,high,0
2014,0.0,0.01,0.6,-0.7415372822063974,7,high,0
2014,0.0,0.01,0.6,-0.635617949357349,8,high,0
2014,0.0,0.01,0.6,-0.8507567346469619,9,high,0
2014,0.0,0.01,0.6,-0.6917790546207971,10,high,0
2014,0.0,0.01,0.8,-0.7201518576095045,0,high,0
2014,0.0,0.01,0.8,-0.3571101573042254,1,high,0
2014,0.0,0.01,0.8,-0.32103209255064513,2,high,0
2014,0.0,0.01,0.8,-0.3511763172027924,3,high,0
2014,0.0,0.01,0.8,-0.4871586908998639,4,high,0
2014,0.0,0.01,0.8,-0.49149028353290025,5,high,0
2014,0.0,0.01,0.8,-0.5463493541314683,6,high,0
2014,0.0,0.01,0.8,-0.7766188106419882,7,high,0
2014,0.0,0.01,0.8,-0.8001508310472446,8,high,0
2014,0.0,0.01,0.8,-0.7341943180794842,9,high,0
2014,0.0,0.01,0.8,-0.8940000817770453,10,high,0
2014,0.0,0.01,1.0,-0.678322223825834,0,high,0
2014,0.0,0.01,1.0,-0.5938984627287978,1,high,0
2014,0.0,0.01,1.0,-0.38223027284310224,2,high,0
2014,0.0,0.01,1.0,-0.4689294716002424,3,high,0
2014,0.0,0.01,1.0,-0.794562824361851,4,high,0
2014,0.0,0.01,1.0,-0.6062581397388151,5,high,0
2014,0.0,0.01,1.0,-1.1013634415260427,6,high,0
2014,0.0,0.01,1.0,-1.0923622045459054,7,high,0
2014,0.0,0.01,1.0,-0.98675605683913,8,high,0
2014,0.0,0.01,1.0,-1.0237738638148448,9,high,0
2014,0.0,0.01,1.0,-1.4204468705886062,10,high,0
2014,0.25,1e-05,0.2,0.053699549138202365,0,high,0
2014,0.25,1e-05,0.2,0.004637207834747966,1,high,0
2014,0.25,1e-05,0.2,-0.19358660119861226,2,high,0
2014,0.25,1e-05,0.2,-0.047680039415337126,3,high,0
2014,0.25,1e-05,0.2,-0.20724137935360384,4,high,0
2014,0.25,1e-05,0.2,-0.2886642717811005,5,high,0
2014,0.25,1e-05,0.2,-0.12564492829317428,6,high,0
2014,0.25,1e-05,0.2,-0.1319841052724141,7,high,0
2014,0.25,1e-05,0.2,0.002162873564808676,8,high,0
2014,0.25,1e-05,0.2,-0.11884736124182435,9,high,0
